valor,cep,cidade,bairro,logradouro,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
175000,69036240,Manaus,Compensa,Rua Cecília Bernardo Cabral,Apartamentos,75m²,3,2,2
330000,69028360,Manaus,Flores,Rua São Judas Tadeu,Apartamentos,79m²,3,2,2
145000,69041010,Manaus,Tarumã,Avenida do Turismo,Apartamentos,41m²,2,1,1
160400,69058830,Manaus,Flores,Avenida Torquato Tapajós,Apartamentos,42m²,2,1,1
280157,69098000,Manaus,Novo Aleixo,Rua Cariré,Casas,80m²,3,2,2
660000,69030060,Manaus,Compensa,Rua Mário Brandão,Apartamentos,180m²,3,2,1
95000,69097315,Manaus,Nova Cidade,Avenida Nepal,Casas,128m²,2,2,2
1600000,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,458m²,4,5 ou mais,5 ou mais
343266,69037255,Manaus,Ponta Negra,Avenida Thales Loureiro,Casas,67m²,2,2,3
420000,69054300,Manaus,Parque 10 de Novembro,Rua Gil Nogueira,Casas,110m²,3,2,2
343266,69037001,Manaus,Ponta Negra,Conjunto Asa,Casas,60m²,2,2,3
220129,69098000,Manaus,Novo Aleixo,Rua Cariré,Casas,70m²,2,2,2
280000,69078170,Manaus,Japiim,Rua Catarina de Aragão,Apartamentos,87m²,3,1,1
1100000,69037042,Manaus,Ponta Negra,Rua Raimundo Nonato de Castro,Apartamentos,147m²,4,2,5 ou mais
331000,69098404,Manaus,Novo Aleixo,Rua Agave,Casas,86m²,3,2,2
255000,69096480,Manaus,Cidade Nova,Rua Cachoeira,Casas,141m²,2,3,2
665001,69028348,Manaus,Flores,Rua Inaldo Luigi,Casas,103m²,3,3,3
150000,69023022,Manaus,Tarumã-Açu,Rua dos Tigres,Apartamentos,50m²,3,1,2
1800000,69097171,Manaus,Novo Aleixo,Travessa Seis,Casas,700m²,5 ou mais,4,1
1400,69041030,Manaus,Tarumã,Avenida Antoine Lavoisier,Casas,50m²,2,1,1
1550000,69037005,Manaus,Ponta Negra,Avenida do Turismo,Casas,275m²,3,4,4
85000,69086413,Manaus,Gilberto Mestrinho,Rua Padre Mário Guidici,Casas,null,3,0,1
243690,69037005,Manaus,Ponta Negra,Avenida do Turismo,Apartamentos,46m²,2,1,1
225000,69049072,Manaus,Da Paz,Rua Jorge Luiz Milani,Apartamentos,42m²,2,1,1
275,69041010,Manaus,Tarumã,Avenida do Turismo,Casas,56m²,2,2,1
220000,69038010,Manaus,Lírio do Vale,Avenida Laguna,Casas,165m²,3,1,2
5200000,69057000,Manaus,Adrianópolis,Avenida Mário Ypiranga - até 436/437,Casas,630m²,5 ou mais,5 ou mais,5 ou mais
450000,69093770,Manaus,Colônia Santo Antônio,Avenida Max Teixeira - até 2999 - lado ímpar,Apartamentos,80m²,3,2,2
450000,69099762,Manaus,Novo Aleixo,Rua José Romão,Apartamentos,70m²,3,1,1
400000,69058030,Manaus,Flores,Avenida Professor Nilton Lins,Casas,86m²,3,2,2
null,null,null,null,null,null,null,null,null,null
190000,69098164,Manaus,Novo Aleixo,Rua Itaguacetuba,Casas,90m²,2,2,1
255000,69058840,Manaus,Flores,Rua Campina Verde,Casas,81m²,3,2,1
11111111,69037000,Manaus,Ponta Negra,Avenida Coronel Teixeira,Apartamentos,330m²,4,4,5 ou mais
420000,69077815,Manaus,Japiim,Rua Júlia Lopes,Casas,600m²,3,3,2
700000,69037144,Manaus,Ponta Negra,Avenida Frederico Baird,Casas,303m²,2,4,3
1000,69039125,Manaus,Novo Israel,Avenida Torquato Tapajós,Apartamentos,42m²,2,1,1
850000,69037145,Manaus,Ponta Negra,Alameda Carlota Bonfim,Casas,170m²,3,2,4
