,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
4,450000.0,Adrianópolis,Centro-Sul,Apartamentos,120.0,3.0,2.0,2.0
13,160000.0,Lago Azul,Norte,Apartamentos,60.0,3.0,1.0,2.0
22,200129.0,Tarumã,Oeste,Apartamentos,70.0,2.0,1.0,1.0
34,580000.0,Colônia Terra Nova,Norte,Casas,175.0,3.0,4.0,4.0
43,1450000.0,Ponta Negra,Oeste,Casas,246.0,4.0,5.0,5.0
52,2600000.0,Dom Pedro I,Centro-Oeste,Casas,415.0,3.0,4.0,5.0
63,700000.0,Ponta Negra,Oeste,Casas,140.0,3.0,4.0,5.0
72,350000.0,Da Paz,Centro-Oeste,Apartamentos,80.0,3.0,1.0,2.0
81,400000.0,Parque 10 de Novembro,Centro-Sul,Casas,350.0,3.0,3.0,3.0
90,1500000.0,Ponta Negra,Oeste,Casas,245.0,3.0,2.0,4.0
100,180000.0,Tarumã-Açu,Oeste,Apartamentos,46.0,3.0,1.0,1.0
110,190002.0,Zumbi dos Palmares,Leste,Apartamentos,44.0,2.0,1.0,1.0
124,850000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,119.0,3.0,2.0,5.0
136,1100001.0,Dom Pedro I,Centro-Oeste,Apartamentos,171.0,4.0,2.0,3.0
150,1300000.0,Ponta Negra,Oeste,Apartamentos,169.0,3.0,3.0,4.0
161,1600000.0,Ponta Negra,Oeste,Casas,600.0,4.0,4.0,4.0
171,798000.0,Colônia Terra Nova,Norte,Casas,250.0,3.0,4.0,4.0
182,600000.0,Centro,Sul,Casas,17947.0,3.0,1.0,2.0
195,400000.0,Cidade de Deus,Norte,Casas,250.0,2.0,5.0,2.0
206,1800000.0,Ponta Negra,Oeste,Casas,428.0,3.0,5.0,5.0
217,232790.0,Ponta Negra,Oeste,Apartamentos,46.0,2.0,1.0,1.0
228,380000.0,Tarumã,Oeste,Casas,280.0,5.0,3.0,3.0
242,620145.0,Parque 10 de Novembro,Centro-Sul,Casas,150.0,3.0,2.0,4.0
252,164855.0,Flores,Centro-Sul,Apartamentos,42.0,2.0,1.0,1.0
262,160254.0,Flores,Centro-Sul,Casas,80.0,2.0,2.0,2.0
274,140000.0,Tarumã-Açu,Oeste,Apartamentos,49.0,3.0,1.0,1.0
286,300000.0,Alvorada,Centro-Oeste,Apartamentos,59.0,2.0,1.0,2.0
297,670000.0,Nova Esperança,Oeste,Apartamentos,112.0,3.0,1.0,2.0
309,270000.0,Flores,Centro-Sul,Apartamentos,65.0,2.0,1.0,2.0
318,500000.0,Flores,Centro-Sul,Casas,150.0,3.0,3.0,3.0
327,1150000.0,Ponta Negra,Oeste,Casas,220.0,3.0,4.0,5.0
337,1100008.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,140.0,3.0,2.0,4.0
350,600000.0,Vila da Prata,Oeste,Casas,310.0,4.0,4.0,5.0
361,2200000.0,Aleixo,Centro-Sul,Casas,525.0,4.0,5.0,5.0
375,650000.0,Novo Aleixo,Norte,Casas,140.0,3.0,2.0,1.0
388,265007.0,Flores,Centro-Sul,Casas,85.0,3.0,2.0,2.0
398,475000.0,Flores,Centro-Sul,Apartamentos,70.0,2.0,2.0,2.0
410,620129.0,Parque 10 de Novembro,Centro-Sul,Casas,150.0,3.0,2.0,4.0
422,75000.0,Colônia Terra Nova,Norte,Casas,50.0,2.0,1.0,1.0
432,1600000.0,Ponta Negra,Oeste,Apartamentos,178.0,4.0,3.0,5.0
444,1650000.0,Ponta Negra,Oeste,Casas,314.0,4.0,4.0,5.0
