,valor,bairro,zona,categoria,area,qtde_quartos,qtde_vagas,qtde_banheiros
0,180000.0,Parque 10 de Novembro,Centro-Sul,Casas,180.0,2.0,1.0,1.0
2,140000.0,Cidade Nova,Norte,Casas,50.0,3.0,1.0,2.0
3,380000.0,Nossa Senhora das Graças,Centro-Sul,Apartamentos,85.0,3.0,1.0,2.0
4,450000.0,Adrianópolis,Centro-Sul,Apartamentos,120.0,3.0,2.0,2.0
5,90000.0,Lírio do Vale,Oeste,Apartamentos,42.0,2.0,1.0,1.0
6,135000.0,Chapada,Centro-Sul,Apartamentos,35.0,1.0,1.0,1.0
7,580001.0,Japiim,Sul,Casas,300.0,3.0,4.0,3.0
8,400000.0,Flores,Centro-Sul,Apartamentos,79.0,3.0,4.0,1.0
9,450000.0,Ponta Negra,Oeste,Apartamentos,88.0,3.0,2.0,2.0
10,350000.0,Parque 10 de Novembro,Centro-Sul,Casas,90.0,3.0,3.0,2.0
11,6200000.0,Aleixo,Centro-Sul,Casas,550.0,4.0,4.0,5.0
12,250000.0,Nova Esperança,Oeste,Apartamentos,54.0,3.0,1.0,1.0
13,160000.0,Lago Azul,Norte,Apartamentos,60.0,3.0,1.0,2.0
14,3000000.0,Chapada,Centro-Sul,Casas,600.0,5.0,5.0,4.0
15,500000.0,Parque 10 de Novembro,Centro-Sul,Casas,500.0,4.0,3.0,2.0
16,470000.0,Flores,Centro-Sul,Apartamentos,82.0,3.0,2.0,2.0
17,400000.0,Tarumã,Oeste,Casas,200.0,3.0,2.0,3.0
18,320000.0,Parque 10 de Novembro,Centro-Sul,Casas,90.0,3.0,2.0,2.0
19,500000.0,Dom Pedro I,Centro-Oeste,Apartamentos,84.0,3.0,2.0,3.0
20,900000.0,Ponta Negra,Oeste,Casas,155.0,3.0,4.0,4.0
21,1194840.0,Ponta Negra,Oeste,Apartamentos,165.0,4.0,3.0,5.0
22,200129.0,Tarumã,Oeste,Apartamentos,70.0,2.0,1.0,1.0
23,1800000.0,Ponta Negra,Oeste,Casas,600.0,4.0,4.0,5.0
24,430000.0,Colônia Santo Antônio,Norte,Apartamentos,81.0,3.0,2.0,2.0
26,300000.0,São Jorge,Oeste,Casas,250.0,3.0,1.0,2.0
27,1100000.0,Aleixo,Centro-Sul,Apartamentos,195.0,3.0,3.0,5.0
28,380000.0,Cidade Nova,Norte,Casas,100.0,3.0,1.0,3.0
29,270131.0,Flores,Centro-Sul,Casas,70.0,2.0,2.0,2.0
30,950000.0,Ponta Negra,Oeste,Casas,170.0,3.0,4.0,4.0
31,200000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,60.0,2.0,1.0,1.0
34,580000.0,Colônia Terra Nova,Norte,Casas,175.0,3.0,4.0,4.0
35,750000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,160.0,3.0,3.0,4.0
36,270000.0,Novo Aleixo,Norte,Casas,200.0,3.0,2.0,2.0
37,90000.0,São Lázaro,Sul,Casas,810.0,1.0,5.0,0.0
38,300000.0,Flores,Centro-Sul,Apartamentos,65.0,2.0,1.0,1.0
39,530000.0,Tarumã,Oeste,Apartamentos,146.0,3.0,4.0,3.0
40,450000.0,Chapada,Centro-Sul,Apartamentos,140.0,2.0,2.0,3.0
41,145000.0,Tarumã,Oeste,Apartamentos,45.0,2.0,1.0,1.0
42,3700000.0,Ponta Negra,Oeste,Apartamentos,450.0,4.0,4.0,5.0
43,1450000.0,Ponta Negra,Oeste,Casas,246.0,4.0,5.0,5.0
44,750000.0,Centro,Sul,Apartamentos,90.0,3.0,2.0,2.0
45,470000.0,Parque 10 de Novembro,Centro-Sul,Apartamentos,67.0,2.0,1.0,2.0
46,400000.0,Tarumã-Açu,Oeste,Casas,73.0,3.0,2.0,2.0
